ClimateBin,ClimateBinR2,GlobalCropR2,
1,0.575930,0.788230,
2,0.424970,0.788230,
3,0.569130,0.788230,
4,0.646810,0.788230,
5,0.665830,0.788230,
6,0.755970,0.788230,
7,0.752410,0.788230,
8,0.643260,0.788230,
9,0.604910,0.788230,
10,0.599780,0.788230,
11,0.561810,0.788230,
12,0.596450,0.788230,
13,0.691600,0.788230,
14,0.601880,0.788230,
15,0.463750,0.788230,
16,0.330770,0.788230,
17,0.392690,0.788230,
18,0.328260,0.788230,
19,0.378510,0.788230,
20,0.651060,0.788230,
21,0.739320,0.788230,
22,0.460830,0.788230,
23,0.167940,0.788230,
24,0.125140,0.788230,
25,0.318680,0.788230,
26,0.454980,0.788230,
27,0.360820,0.788230,
28,0.596420,0.788230,
29,0.601560,0.788230,
30,0.710380,0.788230,
31,0.683200,0.788230,
32,0.225470,0.788230,
33,0.116100,0.788230,
34,0.126830,0.788230,
35,0.316620,0.788230,
36,0.514390,0.788230,
37,0.595220,0.788230,
38,0.758970,0.788230,
39,0.637520,0.788230,
40,0.460400,0.788230,
41,0.629200,0.788230,
42,0.311660,0.788230,
43,0.234230,0.788230,
44,0.053544,0.788230,
45,-0.013780,0.788230,
46,0.015529,0.788230,
47,0.440950,0.788230,
48,0.648620,0.788230,
49,0.644020,0.788230,
50,0.499540,0.788230,
51,0.713360,0.788230,
52,0.843370,0.788230,
53,0.794200,0.788230,
54,0.684610,0.788230,
55,0.603320,0.788230,
56,0.672360,0.788230,
57,0.575550,0.788230,
58,0.563480,0.788230,
59,0.601160,0.788230,
60,0.408950,0.788230,
61,0.353490,0.788230,
62,0.296010,0.788230,
63,0.729160,0.788230,
64,0.738470,0.788230,
65,0.805320,0.788230,
66,0.784170,0.788230,
67,0.634810,0.788230,
68,0.491660,0.788230,
69,0.523170,0.788230,
70,0.367620,0.788230,
71,0.409220,0.788230,
72,0.259520,0.788230,
73,0.254830,0.788230,
74,0.302050,0.788230,
75,0.152630,0.788230,
76,0.101830,0.788230,
77,0.257540,0.788230,
78,0.717380,0.788230,
79,0.297480,0.788230,
80,0.257230,0.788230,
81,0.478110,0.788230,
82,0.673750,0.788230,
83,0.767360,0.788230,
84,0.788120,0.788230,
85,0.799860,0.788230,
86,0.795200,0.788230,
87,0.770370,0.788230,
88,0.683810,0.788230,
89,0.553130,0.788230,
90,0.256170,0.788230,
91,0.083764,0.788230,
92,0.515380,0.788230,
93,0.419130,0.788230,
94,0.314750,0.788230,
95,0.253540,0.788230,
96,0.084723,0.788230,
97,0.092880,0.788230,
98,0.087609,0.788230,
99,0.078185,0.788230,
100,0.043333,0.788230,
