"Value","Description"
"1","subnational rates"
"2","national-level rate scaled by subnational data"
"3","national-level rates"
"4","inferred application rate from countries of similar economic status, scaled by subnational data, matched to FAO"
"4.5","inferred global application rate, scaled by subnational data, matched to FAO"
"5","inferred application rate from countries of similar economic status, scaled to match FAO"
"5.5","inferred application rate from from global average, scaled to match FAO"
"6","inferred application rate from from countries of similar economic status, not scaled to match FAO"
"6.5","inferred application rate from from global average, not scaled to match FAO"
