Description,Group A,Group B,Group C,Group D
Saturated hydraulic conductivity of the least transmissive layer when a water impermeable layer exists at a depth between 50 and 100 centimeters,>40 um/s,[40;10] um/s,[10;1] um/s,<1 um/s (or depth to impermeable layer<50cm or water table<60cm)
Saturated hydraulic conductivity of the least transmissive layer when any water impermeable layer exists at a depth greater than 100 centimeters,>10 um/s,[4;10] um/s,[0.4;4] um/s,<0.4 um/s
