,,Todos los sitios,Drenajes pluviales (Grupo 1),Corrientes (Grupo 2)
Error cuadrático medio (ECM) (cm),Modelo base,7.1,7.6,7.8
,Con retención ajustada,3.9,3.9,7.8
Error medio absoluto (EMA) (cm),Modelo base,5.6,6.9,6.9
,Con retención ajustada,3.2,3.2,5.8
