,Group A,Group B,Group C,Group D
Saturated hydraulic conductivity of the least transmissive layer when a water impermeable layer exists at a depth between 50 and 100 centimeters,> 40 micrometers/second,[40 - 10] micrometers/second,[10 - 1] micrometers/second,< 1 micrometer/second (or depth to impermeable layer < 50cm or water table < 60cm)
Saturated hydraulic conductivity of the least transmissive layer when any water impermeable layer exists at a depth greater than 100 centimeters,> 10 micrometers/second,[4 - 10] micrometers/second,[0.4 - 4] micrometers/second,< 0.4 micrometers/second
