,Costs if :math:`\leq` 60km (AC), Costs if > 60km (DC)
MW,.81\*\*\*,1.09\*\*
,(.15),(.37)
Cables,1.36,.89
,(1.19),(1.61)
Adj :math:`R^2`,.937,.951
