Farm,Location,# of Turbines,km of cable,Total Cost ($mil)
Nordsee Ost,Germany,48,63,14.3
Amrumbank,Germany,80,86,27.1
Gwynt y Mor,UK,160,148,34.7
Anholt,Denmark,111,160,41.4
Baltic 2,Germany,80,80,32.5
Sheringham Shoal,UK,88,88,17.7
